NGA,PolID,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
Big Island Hawaii,Hawaii1,1000,-4.354728003,-4.545182599,-4.441691092,-4.861633254,-4.414070501,-4.305107088,-4.606158305,-4.847847665,-4.596905897,-4.540389458,-3.924401794,-4.426667713,-4.508889436,-4.331117022,-4.218270978,-4.23698099,-3.453515918,-4.573481274,-4.931537965,-4.8021306
Big Island Hawaii,Hawaii2,1200,-4.236787133,-4.145571831,-4.200467301,-3.982025407,-4.419215936,-4.111809996,-4.004998791,-3.976162173,-4.200346108,-4.176620084,-4.130484322,-4.322503023,-4.085146615,-3.854160895,-4.18356273,-4.020299693,-4.232100496,-4.101039743,-4.129859224,-4.311825556
Big Island Hawaii,Hawaii2,1300,-4.114438949,-4.050415799,-4.031149642,-4.242772841,-3.808303324,-4.013196656,-3.957741906,-4.094369879,-4.038518098,-3.990188495,-3.841382502,-4.080675528,-4.028565054,-4.288232141,-4.186068326,-3.654554014,-4.075746219,-4.06207902,-4.094290724,-3.87118083
Big Island Hawaii,Hawaii2,1400,-3.674560993,-3.835204118,-3.968635194,-3.886423911,-3.946166405,-3.657160686,-3.860586746,-4.051279479,-3.883466818,-3.74985026,-3.682797826,-3.775981509,-3.820266536,-3.829954614,-3.728665506,-3.832646351,-4.04207218,-4.083760072,-3.758868606,-3.97069708
Big Island Hawaii,Hawaii2,1500,-3.508529863,-3.60590082,-3.351962698,-3.734372729,-3.885935226,-3.573145499,-3.69833678,-3.775044567,-3.535522062,-3.627477421,-3.605850654,-3.743181511,-3.600511666,-3.7584735,-3.420612904,-3.550831537,-3.687984762,-3.594845365,-3.554027397,-4.030665461
Big Island Hawaii,Hawaii2,1600,-4.22358021,-4.197406535,-4.261219048,-4.463926438,-4.666984327,-4.016613293,-4.17279613,-4.239190139,-4.074019565,-4.439086244,-4.244627634,-4.040121245,-4.307079981,-4.081403377,-4.249227163,-4.278083125,-4.059503028,-4.353159,-4.202903251,-4.57353593
Big Island Hawaii,Hawaii3,1700,-2.545152137,-2.338453434,-2.629495256,-2.413642697,-2.341216492,-2.310309623,-2.510205699,-2.481128817,-2.421439053,-2.605869169,-2.86557749,-2.555275736,-2.415222947,-2.5724074,-2.487448484,-2.565965512,-2.437134212,-2.518542183,-2.44348992,-2.458385949
Big Island Hawaii,USKameh,1800,-2.17244762,-2.355494892,-2.201070515,-2.428429829,-2.202116175,-2.488528028,-2.183915281,-2.32354374,-2.258762679,-2.164255028,-2.154580686,-2.318669981,-2.223112413,-2.428655205,-2.491299788,-2.383224134,-2.318281808,-2.510448447,-2.326423749,-2.438370618
Cahokia,USMisEW,-600,-5.918389794,-5.524037494,-5.674153945,-5.51830185,-5.515599356,-5.757740525,-5.600164266,-5.610522744,-5.500487713,-5.82935933,-5.566691172,-5.52983255,-5.518339656,-5.562501767,-5.683576634,-5.41360924,-5.549360253,-5.610440723,-5.745525909,-5.474406144
Cahokia,USMisMW,-100,-5.587922195,-5.606252229,-5.85199981,-5.58166017,-5.814844979,-5.518148567,-5.609707272,-5.751273259,-5.625322066,-5.733466105,-5.639485176,-5.224151399,-5.577909334,-5.608145409,-5.417919478,-5.503227635,-5.645439637,-5.541683166,-5.593772085,-5.52712628
Cahokia,USMisRo,300,-5.687052682,-5.916293534,-5.759134231,-5.565460548,-5.588479601,-5.725392545,-5.63131199,-5.765537264,-5.42405984,-5.668423845,-5.556256527,-5.606922641,-5.999571532,-5.609480144,-5.636383839,-5.544635038,-5.581947991,-5.682557891,-5.616954773,-5.84003227
Cahokia,USMisMu,500,-5.704191706,-5.52716907,-5.607948171,-5.480430349,-5.683784753,-5.7073775,-5.648853103,-5.398473249,-5.563618535,-5.564493545,-5.448189162,-5.741617647,-5.463960856,-5.455429133,-5.577433601,-5.39684527,-5.524944592,-5.584149101,-5.564384923,-5.562964012
Cahokia,USMisPa,600,-5.395691699,-5.737181744,-5.459421215,-5.645742316,-5.714625715,-5.475381369,-5.623448991,-5.703184508,-5.663205556,-5.468729205,-5.479205914,-5.582471038,-5.463723979,-5.421099729,-5.594265794,-5.688092126,-5.531423414,-5.541277492,-5.164432597,-5.401627687
Cahokia,USMisSp,800,-4.671510798,-4.686058587,-4.700786914,-4.684730512,-4.680780088,-4.689060086,-4.709820242,-4.700426904,-4.742131604,-4.704247994,-4.713475812,-4.720470032,-4.681459731,-4.640578792,-4.735514022,-4.684775222,-4.691964272,-4.696326142,-4.713126523,-4.733732026
Cahokia,USMisME,900,-4.111876413,-4.149500896,-4.127933001,-4.132877879,-4.129491223,-4.115532014,-4.157595004,-4.143161165,-4.128536597,-4.117320144,-4.1280662,-4.127871507,-4.121216722,-4.099696336,-4.124362936,-4.120162849,-4.127176765,-4.115079318,-4.143950357,-4.132794778
Cahokia,USMisME,1000,-3.970615875,-4.009121362,-3.987296191,-3.99168377,-3.988335009,-3.974137561,-4.015604319,-4.001217632,-3.987028551,-3.975062268,-3.987761084,-3.986189995,-3.979763759,-3.958219117,-3.98464844,-3.979016464,-3.985850297,-3.97457763,-4.002917459,-3.991844589
Cahokia,USCahoE,1100,-2.566672651,-2.63804226,-2.627417105,-2.607195792,-2.574783175,-2.554009103,-2.660073417,-2.585859117,-2.650825927,-2.610854187,-2.65062845,-2.698018281,-2.611768523,-2.617537006,-2.665843418,-2.555016343,-2.575407375,-2.597224492,-2.615489543,-2.629119499
Cahokia,USCahoL,1200,-2.556513498,-2.614494003,-2.626422435,-2.585572408,-2.590585986,-2.599034556,-2.646863125,-2.58816469,-2.646097455,-2.542003411,-2.587555181,-2.5531276,-2.648532634,-2.57469816,-2.600037698,-2.59366321,-2.639432529,-2.619956973,-2.590708238,-2.570374479
Cahokia,USMisSd,1300,-2.984122823,-3.071685465,-3.050096682,-3.024049263,-3.043614785,-3.036254469,-3.094345099,-3.049925605,-3.088468568,-3.04690111,-3.040600092,-3.066535709,-3.036234393,-3.069421305,-3.06006715,-3.05399159,-3.06310399,-3.082177043,-3.070030645,-3.086572808
Cahokia,USOneot,1400,-4.004373575,-4.12819673,-4.262480354,-3.795488945,-3.86689887,-4.229388918,-4.142573795,-3.892441293,-4.206373584,-3.968939162,-4.483636171,-4.226466247,-4.438343686,-4.864138406,-4.319985884,-4.166240636,-4.421453928,-4.566570863,-3.990066461,-4.214988897
